# Case: R.ST0 - All Stations Combined
#
Station,X/H,LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
11,5.0,20,2.0,0.926,-0.076,1.42,0.83,-0.24,-0.27,-0.07,0.08,0.06
11,5.0,21,2.4,0.965,-0.068,0.62,0.44,-0.01,-0.04,0.0,0.03,0.02
11,5.0,22,2.8,0.973,-0.06,0.43,0.33,0.03,0.02,0.02,0.01,0.01
11,5.0,23,3.2,0.972,-0.054,0.4,0.29,0.03,0.02,0.02,0.0,0.0
11,5.0,24,3.6,0.973,-0.05,0.41,0.3,0.05,0.03,0.02,0.01,0.01
11,5.0,25,4.0,0.974,-0.046,0.39,0.29,0.04,0.03,0.02,0.01,0.01
11,5.0,26,5.0,0.974,-0.04,0.39,0.28,0.04,0.03,0.02,0.0,0.0
11,5.0,27,6.0,0.975,-0.034,0.39,0.28,0.03,0.02,0.01,0.0,0.0
11,5.0,28,7.5,0.975,-0.026,0.4,0.32,0.04,0.02,0.02,0.0,0.0
11,5.0,29,8.2,0.88,-0.018,2.71,1.91,0.73,-0.55,-0.25,-0.22,-0.22
